variant,pdk,mos_corner,temp_c,vsup_v,vth_rising_v,vth_falling_v,hysteresis_v,hysteresis_pct_of_vdd,i_peak_rise_a,v_at_i_peak_rise_v,i_peak_fall_a,v_at_i_peak_fall_v,i_midband_rise_a,i_midband_fall_a,i_worst_a,i_rail_lo_a,i_rail_hi_a
long2u,ihp-sg13cmos5l,mos_sf,125,2.97,1.899716e+00,1.053085e+00,8.466310e-01,28.5061,5.426253e-05,1.8760,4.342277e-05,1.0833,2.915471e-05,2.449898e-05,5.426253e-05,8.634965e-11,1.038521e-06
long2u,ihp-sg13cmos5l,mos_sf,125,3.3,2.095055e+00,1.175623e+00,9.194320e-01,27.8616,7.024299e-05,2.0679,5.608492e-05,1.2103,3.983309e-05,3.339559e-05,7.024299e-05,1.027368e-10,1.793166e-07
long2u,ihp-sg13cmos5l,mos_sf,125,3.63,2.290120e+00,1.297371e+00,9.927490e-01,27.3485,8.775654e-05,2.2602,7.010969e-05,1.3349,5.195306e-05,4.360790e-05,8.775654e-05,1.255440e-10,1.609414e-07
long2u,ihp-sg13cmos5l,mos_fs,-40,2.97,1.873702e+00,9.903901e-01,8.833119e-01,29.7411,1.074535e-04,1.8626,5.872811e-05,1.0105,4.496743e-05,2.786889e-05,1.074535e-04,7.980379e-15,2.385632e-06
long2u,ihp-sg13cmos5l,mos_fs,-40,3.3,2.062061e+00,1.109013e+00,9.530480e-01,28.8802,1.431954e-04,2.0498,7.765175e-05,1.1344,6.576561e-05,4.110241e-05,1.431954e-04,1.490474e-14,2.682154e-06
long2u,ihp-sg13cmos5l,mos_fs,-40,3.63,2.249704e+00,1.223298e+00,1.026406e+00,28.2756,1.825609e-04,2.2348,9.862400e-05,1.2514,8.970508e-05,5.659669e-05,1.825609e-04,3.490274e-14,1.436335e-06
long2u,ihp-sg13cmos5l,mos_fs,27,2.97,1.871063e+00,9.955505e-01,8.755125e-01,29.4785,8.256389e-05,1.8552,4.970387e-05,1.0195,3.834799e-05,2.518778e-05,8.256389e-05,9.441535e-14,4.242938e-07
long2u,ihp-sg13cmos5l,mos_fs,27,3.3,2.061537e+00,1.114048e+00,9.474890e-01,28.7118,1.083457e-04,2.0448,6.530418e-05,1.1426,5.417457e-05,3.607260e-05,1.083457e-04,1.726589e-13,2.033318e-06
long2u,ihp-sg13cmos5l,mos_fs,27,3.63,2.251251e+00,1.229773e+00,1.021478e+00,28.1399,1.366533e-04,2.2311,8.260091e-05,1.2641,7.246633e-05,4.886675e-05,1.366533e-04,3.599787e-13,1.831989e-06
long2u,ihp-sg13cmos5l,mos_fs,125,2.97,1.865560e+00,1.011509e+00,8.540510e-01,28.7559,5.918605e-05,1.8433,4.049943e-05,1.0432,3.129477e-05,2.292242e-05,5.918605e-05,6.318676e-11,1.261603e-06
long2u,ihp-sg13cmos5l,mos_fs,125,3.3,2.058889e+00,1.130520e+00,9.283690e-01,28.1324,7.647207e-05,2.0333,5.251650e-05,1.1674,4.257054e-05,3.145030e-05,7.647207e-05,6.856311e-11,2.496735e-07
long2u,ihp-sg13cmos5l,mos_fs,125,3.63,2.251758e+00,1.248398e+00,1.003360e+00,27.6408,9.544312e-05,2.2239,6.583255e-05,1.2896,5.540100e-05,4.123846e-05,9.544312e-05,7.590116e-11,8.500611e-07
long4u,ihp-sg13cmos5l,mos_tt,-40,2.97,1.922281e+00,9.705472e-01,9.517338e-01,32.0449,5.038921e-05,1.8982,3.045578e-05,1.0120,1.973379e-05,1.413856e-05,5.038921e-05,4.612814e-14,1.469355e-06
long4u,ihp-sg13cmos5l,mos_tt,-40,3.3,2.111012e+00,1.093869e+00,1.017143e+00,30.8225,6.747338e-05,2.0844,4.002176e-05,1.1410,2.926716e-05,2.069326e-05,6.747338e-05,1.360572e-13,1.815258e-06
long4u,ihp-sg13cmos5l,mos_tt,-40,3.63,2.299244e+00,1.212311e+00,1.086933e+00,29.9431,8.652841e-05,2.2693,5.066518e-05,1.2641,4.055864e-05,2.844521e-05,8.652841e-05,3.534885e-13,3.734472e-06
long4u,ihp-sg13cmos5l,mos_tt,27,2.97,1.923542e+00,9.693908e-01,9.541512e-01,32.1263,3.937163e-05,1.8908,2.574585e-05,1.0180,1.732993e-05,1.278101e-05,3.937163e-05,3.814810e-13,1.215690e-07
long4u,ihp-sg13cmos5l,mos_tt,27,3.3,2.114821e+00,1.091072e+00,1.023749e+00,31.0227,5.177142e-05,2.0795,3.364494e-05,1.1459,2.474059e-05,1.822229e-05,5.177142e-05,9.307899e-13,3.029540e-06
long4u,ihp-sg13cmos5l,mos_tt,27,3.63,2.305864e+00,1.209778e+00,1.096086e+00,30.1952,6.549954e-05,2.2656,4.242737e-05,1.2696,3.340085e-05,2.456081e-05,6.549954e-05,2.042263e-12,2.524567e-06
long4u,ihp-sg13cmos5l,mos_tt,125,2.97,1.925847e+00,9.760599e-01,9.497871e-01,31.9794,2.852515e-05,1.8804,2.095033e-05,1.0373,1.453213e-05,1.159827e-05,2.852515e-05,5.621992e-11,8.966671e-07
long4u,ihp-sg13cmos5l,mos_tt,125,3.3,2.121122e+00,1.096873e+00,1.024249e+00,31.0378,3.684852e-05,2.0712,2.703865e-05,1.1624,1.989063e-05,1.585173e-05,3.684852e-05,6.597552e-11,4.121743e-07
long4u,ihp-sg13cmos5l,mos_tt,125,3.63,2.316136e+00,1.216427e+00,1.099709e+00,30.2950,4.602178e-05,2.2602,3.379332e-05,1.2877,2.602566e-05,2.073898e-05,4.602178e-05,7.976590e-11,1.158912e-06
long4u,ihp-sg13cmos5l,mos_ss,-40,2.97,1.935885e+00,9.592840e-01,9.766010e-01,32.8822,4.461433e-05,1.9116,2.744435e-05,1.0001,1.638064e-05,1.186218e-05,4.461433e-05,7.063523e-15,3.980731e-08
long4u,ihp-sg13cmos5l,mos_ss,-40,3.3,2.124236e+00,1.085637e+00,1.038599e+00,31.4727,6.003081e-05,2.0976,3.630186e-05,1.1311,2.476761e-05,1.773160e-05,6.003081e-05,9.396889e-15,1.998146e-06
