variant,pvt_bundle,mos_corner,res_corner,temp_c,band_code,vctrl_v,period_s,freq_hz
full,slow,mos_ss,res_wcs,125,11,2.1,2.143316e-09,466566759.1713028
full,slow,mos_ss,res_wcs,125,11,2.7,1.882867e-09,531104958.55522454
full,typ,mos_tt,res_typ,27,00,0.3,3.900038e-09,256407758.07825464
full,typ,mos_tt,res_typ,27,00,0.9,3.627082e-09,275703719.9600119
full,typ,mos_tt,res_typ,27,00,1.5,2.981382e-09,335414918.31640494
full,typ,mos_tt,res_typ,27,00,2.1,2.499858e-09,400022721.2905693
full,typ,mos_tt,res_typ,27,00,2.7,2.178739e-09,458981089.5201307
full,typ,mos_tt,res_typ,27,11,0.3,3.900038e-09,256407758.07825464
full,typ,mos_tt,res_typ,27,11,0.9,3.434565e-09,291157686.6357166
full,typ,mos_tt,res_typ,27,11,1.5,2.298613e-09,435044959.7213624
full,typ,mos_tt,res_typ,27,11,2.1,1.733493e-09,576869938.3268349
full,typ,mos_tt,res_typ,27,11,2.7,1.494919e-09,668932564.2392665
none,fast,mos_ff,res_bcs,-40,00,0.3,1.836255e-09,544586672.330368
none,fast,mos_ff,res_bcs,-40,00,0.9,1.698076e-09,588901792.3814954
none,fast,mos_ff,res_bcs,-40,00,1.5,1.377756e-09,725817924.2188022
none,fast,mos_ff,res_bcs,-40,00,2.1,1.139420e-09,877639500.7986519
none,fast,mos_ff,res_bcs,-40,00,2.7,9.808241e-10,1019550804.2675542
none,fast,mos_ff,res_bcs,-40,11,0.3,1.836252e-09,544587562.0557528
none,fast,mos_ff,res_bcs,-40,11,0.9,1.596203e-09,626486731.324274
none,fast,mos_ff,res_bcs,-40,11,1.5,1.022743e-09,977762741.9596125
none,fast,mos_ff,res_bcs,-40,11,2.1,7.556126e-10,1323429492.8379965
none,fast,mos_ff,res_bcs,-40,11,2.7,6.451332e-10,1550067489.9385118
none,slow,mos_ss,res_wcs,125,00,0.3,2.262248e-09,442038185.0265753
none,slow,mos_ss,res_wcs,125,00,0.9,2.083760e-09,479901716.12853694
none,slow,mos_ss,res_wcs,125,00,1.5,1.722600e-09,580517821.8971323
none,slow,mos_ss,res_wcs,125,00,2.1,1.452332e-09,688547797.6110146
none,slow,mos_ss,res_wcs,125,00,2.7,1.274505e-09,784618342.0229814
none,slow,mos_ss,res_wcs,125,11,0.3,2.262242e-09,442039357.4162269
none,slow,mos_ss,res_wcs,125,11,0.9,1.969772e-09,507672969.25735563
none,slow,mos_ss,res_wcs,125,11,1.5,1.359273e-09,735687385.8305138
none,slow,mos_ss,res_wcs,125,11,2.1,1.040516e-09,961061627.1157771
none,slow,mos_ss,res_wcs,125,11,2.7,9.064959e-10,1103148949.7084322
none,typ,mos_tt,res_typ,27,00,0.3,2.037449e-09,490809831.31356907
none,typ,mos_tt,res_typ,27,00,0.9,1.887789e-09,529720217.6726319
none,typ,mos_tt,res_typ,27,00,1.5,1.537838e-09,650263551.8175517
none,typ,mos_tt,res_typ,27,00,2.1,1.276979e-09,783098234.1917918
none,typ,mos_tt,res_typ,27,00,2.7,1.104468e-09,905413284.9480474
none,typ,mos_tt,res_typ,27,11,0.3,2.037447e-09,490810313.102623
none,typ,mos_tt,res_typ,27,11,0.9,1.783566e-09,560674513.8671627
none,typ,mos_tt,res_typ,27,11,1.5,1.168832e-09,855554947.1609265
none,typ,mos_tt,res_typ,27,11,2.1,8.663053e-10,1154327464.0014322
