corner_tag,tau_xwin,tau_s,state_discharged_start,state_charged_start,lka_min_v,lka_max_v,lka_avg_v,lkb_min_v,lkb_max_v,lkb_avg_v,vwin_a_min_v,vwin_a_max_v,vwin_a_avg_v
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,1.40,3.070620e-10,IN,IN,-1.193750e-01,1.880950e-01,6.385590e-04,-1.193750e-01,1.880950e-01,6.385590e-04,1.080410e+00,3.300550e+00,3.219910e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,1.60,3.509280e-10,TOG,TOG,-1.261970e-01,3.341700e+00,1.065250e-01,-1.261970e-01,3.341700e+00,1.065250e-01,5.662000e-01,3.300050e+00,3.193770e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,1.80,3.947940e-10,TOG,TOG,-1.044040e-01,3.359660e+00,1.196400e-01,-1.044040e-01,3.359660e+00,1.196400e-01,4.143190e-01,3.300030e+00,3.184190e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,2.00,4.386600e-10,TOG,TOG,-1.470190e-01,3.363380e+00,1.272590e-01,-1.470190e-01,3.363380e+00,1.272590e-01,3.272010e-01,3.301730e+00,3.177310e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,2.50,5.483250e-10,TOG,TOG,-1.369580e-01,3.376410e+00,1.489420e-01,-1.369580e-01,3.376410e+00,1.489420e-01,1.752200e-01,3.300030e+00,3.158800e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,10.00,2.193300e-09,TOG,TOG,-1.186440e-01,3.352730e+00,2.807060e-01,-1.186440e-01,3.352730e+00,2.807060e-01,1.087410e-01,3.303690e+00,3.030590e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,0.50,1.267765e-10,IN,IN,-3.048480e-05,3.558080e-05,-3.017970e-07,-3.002170e-05,3.589830e-05,2.159260e-08,3.299910e+00,3.300070e+00,3.299990e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,1.00,2.535530e-10,IN,IN,-2.675620e-04,1.806810e-04,-3.000420e-07,-2.670980e-04,1.810820e-04,2.331930e-08,3.299630e+00,3.300960e+00,3.299990e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,1.20,3.042636e-10,IN,IN,-1.232700e-01,1.228030e-01,4.307100e-05,-1.232700e-01,1.228030e-01,4.307100e-05,1.850140e+00,3.300050e+00,3.255750e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,1.40,3.549742e-10,TOG,TOG,-1.352820e-01,5.004600e-01,2.863260e-03,-1.352820e-01,5.004600e-01,2.863260e-03,9.680100e-01,3.300040e+00,3.223650e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,1.60,4.056848e-10,TOG,TOG,-1.576560e-01,3.349900e+00,8.109570e-02,-1.576560e-01,3.349900e+00,8.109570e-02,7.619320e-01,3.303810e+00,3.214780e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,1.80,4.563954e-10,TOG,TOG,-1.567010e-01,3.352120e+00,1.072020e-01,-1.567010e-01,3.352120e+00,1.072020e-01,4.641580e-01,3.300530e+00,3.197770e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,2.00,5.071060e-10,TOG,TOG,-1.309530e-01,3.350530e+00,1.163190e-01,-1.309530e-01,3.350530e+00,1.163190e-01,4.077220e-01,3.300030e+00,3.190780e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,2.50,6.338825e-10,TOG,TOG,-1.548330e-01,3.376930e+00,1.345430e-01,-1.548330e-01,3.376930e+00,1.345430e-01,2.734740e-01,3.302620e+00,3.174340e+00
mos_ff_res_bcs_cap_bcs_27c_3.3v_24p4MHz,10.00,2.535530e-09,TOG,TOG,-1.571020e-01,3.368590e+00,2.890880e-01,-1.571020e-01,3.368590e+00,2.890880e-01,1.616130e-01,3.303410e+00,3.027350e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,0.50,1.553585e-10,IN,IN,-1.630180e-05,2.027440e-05,-1.593360e-07,-1.551970e-05,2.076260e-05,3.576070e-07,3.299930e+00,3.300050e+00,3.299990e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,1.00,3.107170e-10,IN,IN,-3.470970e-04,2.150110e-04,-1.624700e-07,-3.462410e-04,2.154880e-04,3.544840e-07,3.299460e+00,3.301360e+00,3.299990e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,1.20,3.728604e-10,IN,IN,-1.236060e-01,1.047680e-01,1.830810e-05,-1.236060e-01,1.047680e-01,1.830810e-05,2.136620e+00,3.300320e+00,3.271270e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,1.40,4.350038e-10,IN,IN,-1.479580e-01,1.462990e-01,5.186200e-04,-1.479580e-01,1.462990e-01,5.186200e-04,1.232830e+00,3.300090e+00,3.242880e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,1.60,4.971472e-10,TOG,TOG,-1.428290e-01,3.310180e+00,6.289120e-02,-1.428290e-01,3.310180e+00,6.289120e-02,8.419750e-01,3.300050e+00,3.227980e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,1.80,5.592906e-10,TOG,TOG,-1.670090e-01,3.370750e+00,8.404580e-02,-1.670090e-01,3.370750e+00,8.404580e-02,6.382120e-01,3.300040e+00,3.218870e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,2.00,6.214340e-10,TOG,TOG,-1.571090e-01,3.372940e+00,9.662650e-02,-1.571090e-01,3.372940e+00,9.662650e-02,5.105950e-01,3.302410e+00,3.209760e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,2.50,7.767925e-10,TOG,TOG,-1.610140e-01,3.383730e+00,1.175030e-01,-1.610140e-01,3.383730e+00,1.175030e-01,4.137350e-01,3.304290e+00,3.192490e+00
mos_ff_res_bcs_cap_bcs_125c_3.3v_24p4MHz,10.00,3.107170e-09,TOG,TOG,-1.678030e-01,3.386200e+00,3.079540e-01,-1.678030e-01,3.386200e+00,3.079540e-01,2.767020e-01,3.300020e+00,3.018400e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,0.50,1.229265e-10,IN,IN,-1.984550e-05,2.195850e-05,-2.193240e-07,-1.952540e-05,2.229530e-05,1.856260e-09,3.299930e+00,3.300040e+00,3.299990e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,1.00,2.458530e-10,IN,IN,-1.735750e-04,1.590740e-04,-2.158260e-07,-1.732050e-04,1.593660e-04,5.336840e-09,3.299600e+00,3.300720e+00,3.299990e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,1.20,2.950236e-10,IN,IN,-8.967240e-02,8.033650e-02,1.951530e-05,-8.967240e-02,8.033680e-02,1.951540e-05,1.984060e+00,3.300260e+00,3.236740e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,1.40,3.441942e-10,IN,IN,-1.223550e-01,1.283060e-01,5.650630e-04,-1.223550e-01,1.283060e-01,5.650630e-04,1.158370e+00,3.300020e+00,3.191020e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,1.60,3.933648e-10,TOG,TOG,-1.086790e-01,3.329930e+00,1.529920e-01,-1.086790e-01,3.329930e+00,1.529920e-01,5.841650e-01,3.300020e+00,3.153410e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,1.80,4.425354e-10,TOG,TOG,-1.264190e-01,3.343090e+00,1.637850e-01,-1.264190e-01,3.343090e+00,1.637850e-01,4.784000e-01,3.302950e+00,3.144940e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,2.00,4.917060e-10,TOG,TOG,-1.200130e-01,3.350770e+00,1.786770e-01,-1.200130e-01,3.350770e+00,1.786770e-01,3.488580e-01,3.301100e+00,3.133010e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,2.50,6.146325e-10,TOG,TOG,-1.144220e-01,3.353950e+00,2.035290e-01,-1.144220e-01,3.353950e+00,2.035290e-01,1.842300e-01,3.300360e+00,3.109940e+00
mos_sf_res_typ_cap_typ_-40c_3.3v_24p4MHz,10.00,2.458530e-09,TOG,TOG,-1.095690e-01,3.339250e+00,3.565310e-01,-1.095690e-01,3.339250e+00,3.565310e-01,7.929350e-02,3.300000e+00,2.961230e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,0.50,1.413815e-10,IN,IN,-2.272630e-05,2.128970e-05,-3.527290e-07,-2.220270e-05,2.163930e-05,6.319220e-09,3.299940e+00,3.300040e+00,3.299990e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,1.00,2.827630e-10,IN,IN,-1.739450e-04,2.010660e-04,-3.526510e-07,-1.734980e-04,2.014490e-04,6.410790e-09,3.299600e+00,3.300750e+00,3.299990e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,1.20,3.393156e-10,IN,IN,-9.741750e-02,6.948150e-02,1.217470e-05,-9.741750e-02,6.948120e-02,1.217480e-05,2.136280e+00,3.300030e+00,3.251150e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,1.40,3.958682e-10,IN,IN,-1.437700e-01,1.391350e-01,2.616000e-04,-1.437700e-01,1.391350e-01,2.616010e-04,1.336400e+00,3.301380e+00,3.212970e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,1.60,4.524208e-10,TOG,TOG,-1.355960e-01,3.338620e+00,1.082880e-01,-1.355960e-01,3.338620e+00,1.082880e-01,9.033640e-01,3.301910e+00,3.188110e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,1.80,5.089734e-10,TOG,TOG,-1.203400e-01,3.340640e+00,1.406790e-01,-1.203400e-01,3.340640e+00,1.406790e-01,5.764100e-01,3.300020e+00,3.168580e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,2.00,5.655260e-10,TOG,TOG,-1.398950e-01,3.343250e+00,1.537770e-01,-1.398950e-01,3.343250e+00,1.537770e-01,4.371530e-01,3.300020e+00,3.158480e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,2.50,7.069075e-10,TOG,TOG,-1.337920e-01,3.358420e+00,1.823130e-01,-1.337920e-01,3.358420e+00,1.823130e-01,2.572300e-01,3.304480e+00,3.133570e+00
mos_sf_res_typ_cap_typ_27c_3.3v_24p4MHz,10.00,2.827630e-09,TOG,TOG,-1.382610e-01,3.351650e+00,3.574550e-01,-1.382610e-01,3.351650e+00,3.574550e-01,1.248950e-01,3.299990e+00,2.965480e+00
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,0.50,1.723260e-10,IN,IN,-1.477210e-05,2.499100e-05,-4.233060e-07,-1.387810e-05,2.555610e-05,1.759430e-07,3.299940e+00,3.300050e+00,3.299990e+00
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,1.00,3.446520e-10,IN,IN,-2.068930e-04,3.065830e-04,-4.205430e-07,-2.060480e-04,3.071120e-04,1.787880e-07,3.299680e+00,3.301210e+00,3.299990e+00
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,1.20,4.135824e-10,IN,IN,-9.161940e-02,4.134960e-02,3.301630e-06,-9.161940e-02,4.134960e-02,3.301720e-06,2.376400e+00,3.300030e+00,3.268220e+00
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,1.40,4.825128e-10,IN,IN,-1.485460e-01,1.337430e-01,3.681320e-04,-1.485460e-01,1.337430e-01,3.681320e-04,1.314820e+00,3.300020e+00,3.227740e+00
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,1.60,5.514432e-10,TOG,TOG,-1.409270e-01,7.541460e-01,6.299780e-03,-1.409270e-01,7.541460e-01,6.299780e-03,9.616210e-01,3.300030e+00,3.211120e+00
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,1.80,6.203736e-10,TOG,TOG,-1.282480e-01,3.355630e+00,1.103840e-01,-1.282480e-01,3.355630e+00,1.103840e-01,6.926850e-01,3.301920e+00,3.195850e+00
mos_sf_res_typ_cap_typ_125c_3.3v_24p4MHz,2.00,6.893040e-10,TOG,TOG,-1.403280e-01,3.356060e+00,1.273910e-01,-1.403280e-01,3.356060e+00,1.273910e-01,5.418900e-01,3.300220e+00,3.184110e+00
